1,"Abdominal pain","Any pain felt in the abdomen. Abdominal pain as­sociated with back pain may indicate abdominal aortic aneurysm, whilst association with PV bleed­ing may indicate ectopic pregnancy or miscarriage"
2,"Abnormal pulse","A bradycardia (<60 min in adults), a tachycardia (>100 min in adults) or an irregular rhythm. Age appropriate definitions of bradycardia and tachy­cardia should be used in children"
3,"Abrupt onset","Onset within seconds or minutes. May cause waking in sleep"
4,"Acute chemical eye injury","Any substance splashed into or placed into the eye within the past 24 hours that caused stinging, burning, or reduced vision should be assumed to have caused chemical injury"
5,"Acute complete loss of vision","Loss of vision in one or both eyes within the pre­ceding 24 hours which has not returned to normal"
6,"Acute neurological deficit","Any loss of neurological function that has come on within the previous 24 hours. This might include altered or lost sensation, weakness of the limbs (ei­ther transiently or permanently) and alterations in bladder or bowel function"
7,"Acute onset after injury","Onset of symptoms immediately within 24 hours of a physically traumatic event"
8,"Acutely avulsed tooth","A tooth that has been avulsed intact within the previous 24 hours"
9,"Acutely short of breath","Shortness of breath that comes on suddenly, or a sudden exacerbation of chronic shortness of breath"
10,"Age less than 25 years","25 years old or younger"
11,"Airway compromise","An airway may be compromised either because it cannot be kept open or because the airway protective reflexes (that stop inhalation) have been lost. Failure to keep the airway open will result either in intermittent total obstruction or in partial obstruction. This will manifest itself as snoring or bubbling sounds during breathing"
12,"Altered blood","Darker than fresh blood and often smelling more like melaena"
13,"Altered conscious level","Not fully alert. Either responding to voice or pain only or unresponsive"
14,"Altered conscious level not wholly attributable to alcohol","A patient who is not fully alert, with a history of alcohol ingestion and in whom there is no doubt at all that other causes of reduced conscious level may be present fulfils this discriminator definition"
15,"Altered conscious level wholly attributable to alcohol","A patient who is not fully alert, with a clear history of alcohol ingestion and in whom there is no doubt that all other causes of reduced conscious level have been excluded fulfils this discriminator definition "
16,"Altered facial sensation ","Any alteration of sensation on the face"
17,"Atypical behaviour","Children who are behaving in a way that is not usual in the given situation. The carers will often volunteer this information. Such children are often referred to as fractious or 'out of sorts' "
18,"Auricular haematoma","A tense haematoma (usually post traumatic) in the outer ear"
19,"Black stool ","Any blackness fulfils this criterion "
20,"Bleeding disorder","Congenital or acquired bleeding disorder "
21,"Breathing after airway opened","In major incidents the presence of breathing after simple airway opening manoeuvres allows respira­tory rate to be counted. Absence of breathing when the airway is open indicates death "
22,"Capillary refill time","The capillary refill time is the time taken for the nail bed capillaries to refill after pressure has been applied for 5 seconds. The normal time is less than 2 seconds. This sign is less useful if the patient is cold "
23,"Capillary refill time abnormal","Major incident casualties whose capillary refill is prolonged (more than 2 seconds) are categorised as RED"
24,"Cardiac pain","Classically a severe dull 'gripping' or 'heavy' pain in the centre of the chest, radiating to the left arm or to the neck. May be associated with sweating and nausea"
25,"Chemical injury","Any substance splashed onto or placed onto the body that causes stinging, burning, reduced vision or any other symptoms should be assumed to be capable of causing a chemical injury"
26,"Chest infection ","A chest infection usually causes a cough and pro­duction of sputum. This is usually purulent (green or yellow)"
27,"Chest injury","Any injury to the area below the clavicles and above the level of the lowest rib. Injury to the lower part of the chest can cause underlying dam­age to abdominal organs"
28,"Cold","If the skin feels cold the patient is clinically said to be cold. The temperature should be taken as soon as possible - a core temperature <35 C is cold"
29,"Colicky pain ","Pain that comes and goes in waves. Renal colic tends to come and go over 20 min or so"
30,"Critical skin","A fracture or dislocation may leave fragments or ends of bone pressing so hard against the skin that the viability of the skin is threatened. The skin will be white and under tension"
